sentence,property,topic,vehicle,event,option0,option1,option2,option3,ans_idx
""" Though your sins be as scarlet they shall be as _ as snow .",white,they,snow,be,beautiful,cold,white,fresh,2
"I 've baked it at the stated temperature and for the stated amount of time , but every single loaf is as _ as a football and about as appetizing .",tough,loaf,football,is,competitive,solid,rough,tough,3
"As I am as _ as a giraffe , the hump makes longer trips uncomfortable .",tall,I,giraffe,am,short,hungry,old,tall,3
"Woven using 25,000 flexible stainless - steel threads that are three times thinner than a piece of paper , as _ as silk and the strength that surpasses leather .",smooth,threads,silk,are,soft,rough,sleek,smooth,3
"First , the Redeemer 's saving concern is as _ as humanity .",wide,concern,humanity,is,thin,deep,wide,narrow,2
"THAT is just as _ as a rock , firm set in the depths of a restless sea .",fixed,THAT,rock,is,curious,fixed,selfish,stupid,1
"However , recently black has become as _ as denim , so I wanted to find tomorrow 's black .",customary,black,denim,become,customary,later,reflective,aware,0
"English is an eccentric language , and its students might even think were all as _ as hatters .",mad,English,hatters,were,mad,rude,happy,slow,0
"They are - about as _ as Emerald , but you will only find those Ores in their specific Biomes : Ruby : Forest like areas and Plains .",rare,They,Emerald,are,important,funny,beautiful,rare,3
They 're as _ as cornbread .,common,They,cornbread,'re,rare,uncommon,personal,common,3
"After Yo resolved her conflict with Kim by being as _ as ice dressed up in fire red ( Revlon , are you listening ?",cold,Yo,ice,being,cold,blue,cool,hot,0
"The "" to grease or not to grease square taper "" debate is probably as _ as time itself .",old,debate,time,is,old,new,long,young,0
"When the frame is finally finished , it hardens and becomes as _ as steel , provides the comfort of titanium , the stiffness of aluminum and has a fatigue life 100 's of times greater than aluminum alloys .",strong,frame,steel,becomes,strong,heavy,rigid,small,0
"But when Grandma spread out the chicken and sandwiches and cookies and lemonade in the shade of the big tree , they found that they were as _ as bears .",hungry,they,bears,were,cold,thirsty,hungry,dangerous,2
The unit is as _ as hell and easily weighs almost double the iPad 2 .,heavy,unit,hell,is,beautiful,complex,light,heavy,3
The ultimate treat for anyone that 's as _ as chocolate - but this is a treat with a difference .,sweet,that,chocolate,'s,sweet,hot,bitter,warm,0
Those are as _ as fate ;,fixed,Those,fate,are,warm,dry,fixed,sour,2
""" You are as _ as a lath and as brown as a nut .",thin,You,nut,are,thin,fat,tough,thick,0
what will seem as _ as a thatcher or fletcher does today ?,archaic,what,thatcher,seem,archaic,dead,tall,precise,0
It is as _ as a Fart in the White House .,sad,It,Fart,is,sad,glad,cheerful,happy,0
""" Her thin calico dress was soaked with the damp in the air , and she was shivering and looked as _ as a sheet .",white,she,sheet,looked,soft,pretty,blue,white,3
"She was rather thin , but young , and fresh - complexioned , and her eyes sparkled as _ as diamonds .",bright,eyes,diamonds,sparkled,wide,clear,bright,pretty,2
"The boat received major dents and scratches , it seems as the material is as _ as butter .",soft,material,butter,is,hot,soft,solid,hard,1
"I need not expatiate on the usefulness of that valuable species of cattle , which might have been as _ as asses before now , if our lawgivers had been as mindful of their duty in the suppression of jockey - ship , as they have been in the suppression of usury .",cheap,species,asses,been,dirty,cheap,ugly,expensive,1
""" "" He 's still as _ as an ox , "" Barbara interjected .",strong,He,ox,'s,slow,fast,strong,weak,2
That 's as _ as an excuse as they come .,fake,That,excuse,'s,fake,important,heavy,bad,0
"That stuff never smells or wrinkles , and is just as _ as cotton .",soft,stuff,cotton,is,thin,heavy,soft,hard,2
The curtain rose to the usual restless flutter of the audience the last coughs audiences were as _ as the performers in their reactions and the chorus began their opening song,predictable,audiences,performers,were,predictable,fun,bore,unpredictable,0
I think so far we ve been as _ as gold and can only maybe have offended Scum supporters which can only be good,good,we,gold,been,nice,bad,good,evil,2
She could feel the moment when he decided to thrust her away from him abruptly stepping back the shock of their coming apart striking as _ as a blow stunning her so that she fell back against the parapet her lips swollen by the passion of his taking a soft anguished breath escaping from between them,swift,moment,blow,striking,swift,quick,powerful,final,0
When our eyes met he went on with his mouth scarcely leaving hers it was as _ as a sword through a chink in a suit of armour,piercing,it,sword,was,piercing,painful,explosive,dangerous,0
And after being out in the sunshine with the children most of the day she 'd lost her pale city complexion becoming as _ as a berry and looking much younger,brown,she,berry,becoming,brown,red,green,yellow,0
Yet as she watched him perched as _ as a cat on the prow leaning back out over the waves to balance the little craft his splendid chest scattered with little beads of water Ronni was aware that she did n't really mean it,slender,him,cat,perched,hungry,cunning,lazy,slender,3
At last she reached a wall waist - high stone - built below which stretched the shore as _ as a seashell in the moonlight,pale,shore,seashell,stretched,blue,dark,smooth,pale,3
Well you are still as _ as a reed coltish I believe your father used to say you still have the same intriguing green eyes and those slanting eyebrows,slim,you,reed,are,hollow,high,slim,hard,2
I 'll be as _ as rain again soon,right,I,rain,be,late,left,wrong,right,3
She pushed back her hair as _ as copper in the sunshine that slanted through the big bay window,bright,hair,copper,pushed,dark,silver,bright,red,2
With a brief mocking smile he turned away and hurried up the steps to the hotel lobby his back was as _ as a roll of barbed wire,hostile,back,wire,was,friendly,hostile,lightweight,dangerous,1
The rush - hour traffic in the city centre had been as _ as a plate of home - made porridge,thick,traffic,plate,been,thick,heavy,thin,light,0
Atlantic Richfield Co. says that its new petrol is as _ as methanol and that it would be ready to start selling it in California by 1996,clean,petrol,methanol,is,blue,dirty,clean,hot,2
Remember of course that Labour and the Unions are as _ as thieves so the gr Labour Group just like its parliamentary counterpart is incapable of making a single decision without the Union pulling the strings,thick,Unions,thieves,are,stable,thin,thick,slim,2
You 're as _ as a sheet he returned implacably,white,You,sheet,'re,white,blue,smooth,soft,0
Her voice was as _ as a rock and she met his silvery - green eyes without flinching,steady,voice,rock,was,smooth,steady,hard,heavy,1
Francesca was as _ as a picture and apparently glowing with health,pretty,Francesca,picture,was,flat,pretty,white,soft,1
Her hands had been as _ as a rock until David mentioned Donna 's birth and Juliet 's on the same day and Thorn House,steady,hands,rock,been,clear,steady,free,smooth,1
One that gradually took the ice from her veins and relaxed her until she felt as _ as a bug and ready to purr like a kitten,close,she,bug,felt,soft,fun,elastic,close,3
They moved together in a dance as _ as time until finally Travis slid between her parted thighs hands going to her hips to hold her tightly against him and feel his desire,old,They,time,moved,long,fun,old,young,2
Ruth was as _ as a dolphin in the water and she was away from him before he had a chance to stop her,agile,Ruth,dolphin,was,valuable,agile,reluctant,cunning,1
Did I accuse you of being as _ as nails he teased gently at last as if reading her mind,hard,you,nails,being,sick,beautiful,grey,hard,3
She was as _ as rain two days ago Jenny said and she was well all winter,right,She,rain,was,wet,incorrect,right,wrong,2
John Power is prepared to run through a wall Willie O'Connor is as _ as nails and Liam Simpson takes no prisoners,hard,O'Connor,nails,is,sharp,hard,easy,soft,1
The picturesque village seems as _ as the series at first sight,surreal,village,series,seems,surreal,impossible,complex,peaceful,0
Baby Bogdan on road to recovery ROMANIAN baby Bogdan Ursu is as _ as a button in Middlesbrough General Hospital after last week 's operation to remove water from his brain,bright,Bogdan,button,is,green,red,bright,dark,2
Shreeves said Gary could be as _ as a button on Monday but I felt we had to let Graham Taylor know,bright,Gary,button,be,red,dark,bright,green,2
The gulf in class was as _ as the Mersey after the break but the first - half belonged to Sunderland,wide,gulf,Mersey,was,skinny,narrow,wide,thin,2
The beast is about as _ as a sheep and is described as A freak of nature,big,beast,sheep,is,big,little,good,small,0
What larks and japes persuaded this audience to collapse in convulsions is a mystery which is as _ as the Druids ' Runes,dark,mystery,Runes,is,dark,light,beautiful,cryptic,0
This work with great and powerful climaxes in first and last movements with a scherzo which is as _ as thistledown a truly poetic slow movement and tremendous pageantry in the finale is much more than a series of vignettes of a great city,light,scherzo,thistledown,is,light,fun,cryptic,unpleasant,0
SUSAN Finley had to be as _ as nails to secure a top job aboard a luxury cruise liner,tough,Finley,nails,be,soft,tough,weak,sharp,1
I have n't been on the stage for a long time so I 'm bound to be as _ as a kitten before I go on,nervous,I,kitten,be,hungry,thirsty,skinny,nervous,3
Even if you 're as _ as a master they still wo n't give you the top black,good,you,master,'re,bad,old,good,important,2
I mean now they 're as _ as thieves you know,thick,they,thieves,'re,thick,slim,thin,petty,0
so er cos me heart was in me mouth when they come up for Christmas and that 's the last time they were up I thought me tree 's gon na go over you know I thought if he pulls at me tree or anything but he was he was as _ as gold for not he was n't trying to get me ornaments or anything he was er you know just happy to play with his own toys so he was n't naughty,good,he,gold,was,bad,happy,good,dead,2
But she was as _ as a kitten because we were we were in a one of these Canadian type er,nervous,she,kitten,was,hot,nervous,weak,skinny,1
It has often been claimed that English speech is rhythmical and that the rhythm is detectable in the regular occurrence of stressed syllables of course it is not suggested that the timing is as _ as a clock the regularity of occurrence is only relative,regular,timing,clock,is,slow,regular,irregular,random,1
As soon as I found out I had to retire they were as _ as gold and granted me a testimonial straight away,good,they,gold,were,old,good,bad,different,1
I 'd be as _ as a dog with two dicks,happy,I,dog,be,sad,fun,unhappy,happy,3
The Derby defence looked as _ as a tea - bag but Penney fluffed the shot,solid,defence,bag,looked,solid,hollow,heavy,FALSE,0
He may be as _ as a dinosaur but he 's as gentle as a lamb,tough,He,lamb,be,soft,easy,tough,weak,2
Without the pioneering treatment Jonathon would have been as _ as youngsters half his age,tall,Jonathon,youngsters,been,short,tall,competitive,small,1
Oh I see what you mean no I do n't think he 'll come home as _ as a button somehow or other,bright,he,button,come,dull,dark,bright,green,2
I remember as _ as day standing talking to Penny and I was calling their plumber I 'll always remember that and er I was quite took back and Penny said ooh she 's been very good to me,clear,I,day,remember,clear,right,light,bright,0
That sat as _ as gold till you got to Colin 's did n't he,good,That,gold,sat,bad,ill,good,pure,2
Yeah but when he got down here he was as _ as rain was n't he,right,he,rain,was,incorrect,FALSE,wrong,right,3
You know she 's as _ as gold and all that but I mean,good,she,gold,'s,good,pure,hot,bad,0
Everywhere there is delicious coffee served very strong and black in little cups it is either free or costs about 2p and seems as _ as water here,common,coffee,water,seems,impossible,common,rare,uncommon,1
George was a quick thinker so always did the introducing and all of the talking but George did not talk about himself he told of how Lennie was as _ as a bull and how he could buck barley all day,strong,Lennie,bull,was,funny,slow,weak,strong,3
He felt for the words that should follow the first step that was as _ as a death or more truly as _ as being born again,hard,step,death,was,soft,hard,easy,bad,1
England 's batting in this Test has been as _ as the plate of prawns which ruled out captain Graham Gooch,unsafe,batting,plate,been,unsafe,square,rectangular,hollow,0
Together under Caroline Paterson 's skilled direction the company finds an idiom for a humour which is as _ as an arrowhead and as hard as flint and a style for an emotion which is shaped from the very suppression and denial of feeling,sharp,humour,arrowhead,is,black,sharp,flat,dull,1
At the moment the number of people suffering from flu in Scotland is nowhere near those levels but one or two football managers may well be feeling as _ as a parrot because they did not think to have their highly - priced investments vaccinated before the winter began,sick,managers,parrot,feeling,bad,sick,healthy,good,1
You may remember that Samson was a man of enormous strength and then following a liaison with Delila and her cutting off his hair he was reported to have become as _ as a child and yet there was an occasion which led to his death when he brought the whole temple down by pulling the pillars against which he was propped,weak,he,child,become,old,strong,drunk,weak,3
The French monarchy probably benefited little from this horde of officials who lay in the words of a contemporary Englishman which are as _ as the grasshoppers in Egypt,thick,words,grasshoppers,are,thin,sparse,thick,slim,2
You will be as _ as a piece of dirt on the sole of my shoe,worthless,You,piece,be,useful,solid,valuable,worthless,3
Under water their needle - like razor - sharp teeth enable them to take fish as _ as eels through they are not good enough swimmers to prey regularly on the fast - swimming fish such as salmon or trout,slippery,them,eels,take,dangerous,sticky,slippery,glossy,2
Robert Giroux has recalled how in advance of such occasions Eliot was as _ as a cat but that when he had begun a great calm descended upon him,nervous,Eliot,cat,was,thirsty,wild,lazy,nervous,3
Such solitariness was a condition and not a mood however it lay beneath those moments of inexplicable high spirits when Eliot seemed as Sherek put it as _ as a cricket just as it could be combined with apparent activity and busyness in the world,gay,Sherek,cricket,put,black,mammal,funny,gay,3
In some parts they are grouped in swarms hundreds strong as _ as herds of grazing antelope,thick,swarms,antelope,strong,thin,hard,slim,thick,3
Moreover he was chuckling and making humorous observations to Fleury in Hindustani his eyes gleaming as _ as anthracite pointing at his neck occasionally and shaking his head as if over an unusually successful jest,black,eyes,anthracite,gleaming,black,hot,blue,green,0
They had a good supper of eggs and milk and crunchy fresh bread in the kitchen which was as _ as the rest of the house but more cheerful with a big range fire that threw out heat like a furnace,clean,kitchen,rest,was,dirty,short,clean,open,2
Writing of the work of Chardin whose most profoundly moving paintings are revelations of how trivial homely everyday scenes and objects are transformed for us when we see them through the eyes of a great painter Proust says Chardin has taught us that a pear is as _ as a woman a kitchen crock as beautiful as an emerald,living,pear,emerald,is,out,living,open,enjoyable,1
Richard had only been climbing a few months but he was as _ as an ox and had no respect for tradition he did n't know all the horror stories,strong,he,ox,was,strong,weak,slow,old,0
The haul up from there to the top of the highest bank was several hundred feet of deep heather pollen - dusty and honey - scented but as _ as a hedgehog for a flea,friendly,haul,hedgehog,but,hazardous,hostile,friendly,human,2
To say that human beings from time to time have sexual intercourse and that this is because they have sexual instincts is as _ as the argument about hunger,circular,instincts,hunger,is,circular,cold,maternal,square,0
As soon as he is shipped on board of a man - of - war he becomes as _ as a midshipman must unavoidably be from his humble situation,insignificant,he,midshipman,becomes,important,involved,significant,insignificant,3
His tip is ponderously broad half the size of the cue - ball mine is as _ as a sting excellent for spins and miscues,slender,mine,sting,is,painful,sudden,slender,sharp,2
Though you may wish to insist it is not true the fact remains that Leos are as _ as the stains on a butcher 's tunic,stubborn,Leos,stains,are,stubborn,blue,red,yellow,0
The sparr+A123ows alone with their urchin adaptability have found their snow legs and know already that today the street - bottoms are as _ as the air and that they run no danger from dog or bicycle,safe,bottoms,air,are,unsafe,cool,dangerous,safe,3
But his daughters on whom he is as _ as a baby refuse to get up in what they call the middle of the night to enable him to pursue his observations,dependent,he,baby,is,drunk,independent,dependent,happy,2
People said that she was as _ as the Moor itself and just as changeable,wild,she,Moor,was,wild,hot,tame,green,0
"One moment she could be smiling tenderly as she fed the animals, the next filled with anger and as _ as a tiger at bay",dangerous,she,tiger,be,beautiful,dangerous,hot,safe,1
She had been as _ as a feather to carry and her small hands were as cold as ice,light,She,feather,been,big,light,hot,pretty,1
I 'll be as _ as a coot if you go on like that,bald,I,coot,be,dense,cunning,bald,hungry,2
Shiseido has increased the proportion of the moisturising ingredient hyaluronic acid in the Matte Red Lipstick to give a velvety texture and the three - sided Black Variations Shadow Liner is as _ as charcoal so that it can be blended all over the eyelid or gently smudged as a liner,soft,Liner,liner,is,hard,soft,opaque,lightweight,1
The even strength of his fingers and his robust eloquence James Huneker would never have found the Scherzo from the B minor Sonata which is as _ as a harebell after this and assurance are often awe - inspiring few young pianists have found a more direct path to musical truth or heeded Jorge Bolet 's adage that speed is so often the enemy of excitement,light,Sonata,harebell,is,white,hard,light,lightweight,2
Basically we 're as _ as chalk and cheese and we have completely different life styles for a start I 'm a family man and he 's not,different,we,chalk,'re,normal,rich,nice,different,3
And what a despicable set of values rendered all the more offensive by the revelations from Wall Street London Tokyo and Dublin that the mandarins gurus and executors of capitalism are as _ as a fox guarding a chicken coop,TRUE,gurus,fox,are,red,TRUE,mechanical,spiritual,1
All this may be for the locals but in Cologne you 'll find the welcome extended to visitors is as _ as a schnapps downed in one,warm,welcome,schnapps,is,cool,bitter,warm,very,2
Even Wordsworth who had never been there took it on himself to describe it as _ as the lair where the young lions couch then went on to say that if the pensive votary enters Gordale at shadowy eve when the air glimmers with fading light he or she will meet a local deity with oozey hair and mineral crown,terrific,himself,lair,describe,mere,happy,useful,terrific,3
High lonely hills where the wind and the sound carry and the ground 's as _ as straw in a barn,dry,ground,straw,'s,hard,sweet,dry,wet,2
No wonder they 're all as _ as hares and smell like princes,big,they,hares,'re,black,little,big,old,2
In the eyes of the faithful these Brabanters with their freebooting and lack of discipline after the end of campaigns were as _ as heretics in 1171 Frederick Barbarossa and Louis VII agreed to expel them from their lands,dangerous,Brabanters,heretics,were,TRUE,funny,safe,dangerous,3
I steered clear of Daniel 's murder but he 's as _ as hell in the other case too,guilty,he,hell,'s,innocent,dead,bad,guilty,3
The camp was almost as _ as day but beyond to front and rear stretched the clammy darkness of the Moravian moor,bright,camp,day,was,dark,light,dull,bright,3
Come now and let us reason together saith the Lord though your sins be as scarlet they shall be as _ as snow though they be red like crimson they shall be as wool,white,they,snow,be,cold,heavy,beautiful,white,3
The other friend who also decided to become a lawyer was as _ as an arrow in flight and in total contrast was very conventional in his approach to life,straight,friend,arrow,was,pointed,straight,sharp,crooked,1
The thousands of groups and organisations are as _ as the colours of the rainbow and they have taken this natural phenomenon as the New Age symbol,diverse,organisations,colours,are,important,reflective,helpful,diverse,3
Another rifleman had bartered some of his Red Cross parcel for a loaf of bread The conditions of living and surviving had made us all as _ as foxes so this rifleman that night slept with it under his neck but someone crept up and cut off both the ends,cunning,us,foxes,made,cunning,fun,red,beautiful,0
One lot are as _ as gold we 'll have them any day but another lot are almost more than we can cope with,good,lot,gold,are,valuable,bad,evil,good,3
The pun on Spinoza was too good for Coleridge to resist and the remarkable nose he attributed to Walsh may well have been borrowed from his memories of the innkeeper at the Castle of Comfort on the road from Stowey to Holford his nose which was locally famous was said to be as _ as a fist and well warted,big,nose,fist,be,strong,small,big,long,2
Although the mind - body effects of essences can be verified by science the spiritual dimension is of course elusive as _ as the fragrance of a beautiful flower,celestial,dimension,fragrance,is,endless,celestial,evade,bad,1
And a bubble blew up under the mud and when the bubble was as _ as an elephant it burst and out popped Mrs Dinwiddie,big,bubble,elephant,was,sized,little,big,small,2
She was as _ as a ghost and her eyes were shadowed as if she had n't slept properly for weeks,white,She,ghost,was,beautiful,ugly,white,pretty,2
Penelope Fitzgerald 's prose is as _ as glass and you realise how much she has n't said only when you stop laughing,clear,prose,glass,is,clear,clean,unclear,opaque,0
Those waves are as _ as houses she exclaimed nodding to our right,big,waves,houses,are,big,loud,tall,little,0
I 'm as _ as a whistle they can test me any time anywhere,clean,I,whistle,'m,sharp,clean,dirty,sick,1
But Thomas Carter was from Philadelphia and his love for Oxford and for England was a pure boyish enthusiasm which is as _ as a passion for preserved railways or real ale,innocent,enthusiasm,passion,is,guilty,fun,destructive,innocent,3
With the upstart Parsons that margin was as _ as a motorway of course but even Thomas Carter Nature 's gentleman could n't help getting it ever so slightly wrong in his case by bending over backwards to minimize his achievements and rubbish his accomplishments in order to spare you the painful comparison with your own lacklustre status,wide,margin,motorway,was,wide,sharp,narrow,thin,0
Some have hearing which is so acute that they can detect insects as _ as a midge up to 60 feet away,tiny,insects,midge,detect,huge,tiny,small,hard,1
It is as _ as a galaxy itself and may be the original material of a potential star system that never really formed says Terzian,large,It,galaxy,is,small,spiral,large,dwarf,2
From the mini weighing as _ as an amoeba or only one hundred - millionth of a kilogram kg to the supermassive with a mass one thousand million times that of the Sun they have been invoked to account for a wide range of cosmic phenomena,little,weighing,amoeba,weighing,little,slow,much,big,0
Some regard what they do simply as a form of legitimate adult play while others take it far more seriously and see themselves as going beyond present human limitations journeying into a new galaxy of knowledge in a way which they find at least as _ as the exploration of deep space,exciting,way,exploration,find,fun,important,dangerous,exciting,3
An interferometer swung around by the Earth 's rotation will synthesise a dish as _ as the separation of the two telescopes,large,dish,separation,synthesise,large,square,difficult,small,0
Sir John Anderson who had much to do with atomic weapons development said he was as _ as the flames of Hell,red,he,flames,was,yellow,orange,red,blue,2
And while they certainly are open to research and development and to further invention the way they evolve is as _ as the evolution of the natural world,complex,way,evolution,is,social,rapid,simple,complex,3
I was as _ as a pig in shit,happy,I,pig,was,sad,thirsty,unhappy,happy,3
I was as _ as a poker and as red - hot with pain,stiff,I,hot,was,hungry,stiff,cold,white,1
It was as _ as a caress and Violet could only squirm,good,It,caress,was,evil,bad,good,nice,2
Bryan Gould is as _ as gold and Gerald Kaufman is a happy - go - lucky bachelor who 's still waiting for the right girl to come along,good,Gould,gold,is,ill,pure,bad,good,3
His brain becomes as _ as cheese .,soft,brain,cheese,becomes,hard,white,soft,slow,2
